fiscal_year,Five Year Plan,Controller,tax_name
1997,211648944.93000004,211648944.93000004,BIRT
1998,222323655.22999996,222323655.22999996,BIRT
1999,233507926.21999997,233507926.21999997,BIRT
2000,265419287.09000003,265419287.09000003,BIRT
2001,300216233.86,300216233.86,BIRT
2002,266071531.07,266071531.07,BIRT
2003,280247244.9,280247244.9,BIRT
2004,311336551.4,311336551.4,BIRT
2005,380012198.7300001,380012198.7300001,BIRT
2006,415896781.49,415896781.49,BIRT
2007,437058931.05999994,437058931.05999994,BIRT
2008,398830440.6,398830440.6,BIRT
2009,385974583.89,385974583.89,BIRT
2010,364703122.05000013,364703122.05000013,BIRT
2011,376944129.53000003,376944129.53000003,BIRT
2012,389386146.93000007,389386146.93000007,BIRT
2013,450911164.25,450911164.25,BIRT
2014,461655141.76000005,461655141.76000005,BIRT
2015,438234878.0,438234878.0,BIRT
2016,474171482.53999996,474171482.53999996,BIRT
2017,417525973.88,417525973.88,BIRT
2018,446070873.08,446070873.08,BIRT
2019,540873629.96,540873629.96,BIRT
2020,534239464.38,534239464.38,BIRT
2021,541598760.49,541598760.49,BIRT
2022,749865139.26,749865139.26,BIRT
2023,690754000.0,690754000.0,BIRT
2024,669709000.0,681835794.2588348,BIRT
2025,685480000.0,694408239.2380624,BIRT
2026,669439000.0,712845524.0326049,BIRT
2027,715229000.0,729127513.5141915,BIRT
2028,729820000.0,744493065.9454902,BIRT
1997,436192298.9199997,436192298.9199997,Wage
1998,891905071.2599995,891905071.2599995,Wage
1999,923550552.1600003,923550552.1600003,Wage
2000,967796447.6900003,967796447.6900003,Wage
2001,1023140226.6599996,1023140226.6599996,Wage
2002,981781428.3600008,981781428.3600008,Wage
2003,987224844.049999,987224844.049999,Wage
2004,1034474361.6200005,1034474361.6200005,Wage
2005,1066003879.4799993,1066003879.4799993,Wage
2006,1104034649.0400004,1104034649.0400004,Wage
2007,1162390897.1300008,1162390897.1300008,Wage
2008,1176555948.57,1176555948.57,Wage
2009,1105870765.2900016,1105870765.2900016,Wage
2010,1102284993.0100002,1102284993.0100002,Wage
2011,1127455305.9900005,1127455305.9900005,Wage
2012,1192221006.8299994,1192221006.8299994,Wage
2013,1219500349.5599997,1219500349.5599997,Wage
2014,1255871045.1799994,1255871045.1799994,Wage
2015,1318751777.0000007,1318751777.0000007,Wage
2016,1364611840.2300003,1364611840.2300003,Wage
2017,1440605001.0299997,1440605001.0299997,Wage
2018,1536868156.7399998,1536868156.7399998,Wage
2019,1577548634.3700006,1577548634.3700006,Wage
2020,1591884242.74,1591884242.74,Wage
2021,1448008277.5600002,1448008277.5600002,Wage
2022,1648127559.58,1648127559.58,Wage
2023,1719754000.000001,1719754000.000001,Wage
2024,1761746000.0,1752286085.8907676,Wage
2025,1845429000.0,1821291706.2563486,Wage
2026,1929396000.0,1899899751.0482783,Wage
2027,2007730000.0,1980932272.728382,Wage
2028,2085630000.0,2064269612.4880533,Wage
1997,43806511.00000002,43806511.00000002,Sales
1998,97095318.00000006,97095318.00000006,Sales
1999,99206773.99999994,99206773.99999994,Sales
2000,122464603.0000001,122464603.0000001,Sales
2001,111304174.0,111304174.0,Sales
2002,108093938.00000004,108093938.00000004,Sales
