Date,D.DeedTransfersPhilly,D.YieldCurve,D.SahmRule,D.D.Ln.WagesPhillyMSA,D.Ln.NonfarmEmployeesPhillyMSA,D.Ln.NonfarmEmployeesPhilly,D.Ln.PersonalSavingsRate,D.Ln.NYCGasPrice,D.Ln.CarSales,D.Ln.RealRetailFoodServiceSales,D.Ln.UnemploymentRate,D.Ln.PPI,D.Ln.UnemploymentPhillyMSA,D.Ln.UnemploymentPhilly,D.Ln.CorporateProfits,D.Ln.RealGDP,D.Ln.AlcoholSales,D.Ln.PrimeEPOP,D.Ln.UncertaintyIndex,D.D.Ln.HousePriceIndexPhillyMSA,D.Ln.BuildingPermitsPhillyMSA,D.EconomicConditionsPhillyMSA,D.Ln.CPIPhillyMSA,D.Ln.InitialClaimsPA,D.Ln.ContinuedClaimsPA,D.Ln.NewManufacturingOrders,D.Ln.ConsumerConfidence,D.Ln.ManufacturingHoursWorked,D.Ln.PCE,D.Ln.RealDisposablePersonalIncome,D.Ln.HousingStarts,D.Ln.HousingSupply,D.Ln.GovtSocialBenefits,D.D.Ln.GDPPriceIndex,D.Ln.GDP,D.Ln.PCEPriceIndex,D.Ln.CPIU,D.Ln.10YearTreasury,D.Ln.3MonthTreasury,D.Ln.FedFundsRate,D.Ln.OilPriceWTI,D.Ln.FHFAHousePriceIndex,D.Ln.NonfarmEmployment,D.Ln.PersonalIncome,D.Ln.Wage&Salaries,D.Ln.NonresidentialInvestment,D.Ln.ResidentialInvestment,D.Ln.TotalBusinessSales,D.Ln.SP500,D.Ln.AmusementBase,D.GrossReceiptsBase,D.NetIncomeBase,D.NPTBase,D.Ln.ParkingBase,D.Ln.RTTBase,D.Ln.SalesBase,D.Ln.WageBase
1997-01-01,-0.0002797151562917398,-0.028150537634408668,0.0866666666666667,-0.00828527784176103,0.006608285028741001,-0.008117776593916659,-0.021053409197832496,-0.05807522543482463,0.012175859237492759,0.0104234588738219,-0.018928009885518904,0.0005189413712729518,-0.032157111634531166,-0.025369501513250903,0.034091607201731655,0.006434859580512153,0.02264378141439316,-0.0004139929680322396,-0.05071268863708056,-0.006535021342269687,0.04970419382992208,0.21666666666666723,0.006445361095501312,-0.1424894653065003,-0.029251125809075518,0.02814772632457796,0.002207796962695241,0.0016038495819747922,0.01489631224056076,0.009472854073591108,0.010995548843665937,-0.17224590480521296,0.022325140006043576,0.0002527711973252522,0.012379097232003033,0.004408794994847476,0.006073953117143205,0.034094211342975855,0.016606160416384963,-0.0006315124933591321,-0.07801279967561259,0.00636835198748642,0.006238134834754661,0.017722446403585224,0.019277039655756667,0.021637653948202384,0.009772275274890774,0.01938465174788817,0.07779286398393115,-0.7505545815304338,0.043919851310677965,0.04062087588461544,0.07421657059262671,-0.016235884034760062,-0.3699912475376017,0.07558260676831097,0.049908268752908214
1997-04-01,0.007675499370783524,-0.0985833333333333,-0.2233333333333333,-0.005557772387837723,0.005527786253484379,-0.0019019976703393837,0.05686286189454326,-0.08465082657938644,-0.045918454917903695,-0.00446272193622832,-0.0456105112520524,-0.010168253429252871,-0.03322564762832059,-0.01409924494551662,0.02657813334479453,0.016483183888663433,0.02147347705564684,0.0028943580263645075,0.29173612617688427,-0.006565623051023373,-0.09026153069165677,-0.06999999999999984,0.0031074767412491155,0.08821881436905521,-0.030520355805826682,0.027674196300326415,0.0047674046007752935,0.0024009615375382154,0.006994189854664157,0.008827946120632646,0.029798216626071294,0.029631797606370913,0.004368241776915305,0.0004915585056322058,0.018502460122904907,0.0024997264216484183,0.0022942965533729875,0.020111286175808818,-0.0026385239581812048,0.045686957545550744,-0.13294574107044843,0.00811658093388079,0.007162795167380054,0.011878264787227977,0.01557221868437253,0.01991065682519455,0.01875776898790793,0.006936282488338108,0.04826529698343851,0.6744847104282954,0.16715204476084766,0.1381320343661543,-0.018300975921329954,0.08969372470829029,-0.014437869119017677,-0.09464845295888225,-0.04758303688515042
1997-07-01,-0.0035930932770435672,-0.08531250000000001,0.1033333333333333,0.01268846115923683,0.009128474438031553,0.0013017575562797035,-0.08381867188307135,0.0833507072655098,0.046837444948492735,0.01663525040814484,-0.027028672387919173,0.0,-0.04138521616285429,-0.007412069935057497,0.03982381186722428,0.01243020958196972,0.011972208181004085,0.00535311140365291,-0.24405861186160127,0.010796559848753162,-0.02338004831750151,0.8199999999999994,0.004368373968636874,0.01716911902565066,-0.014252121210500235,0.07250957783530332,0.002957089301818705,-0.0007996801705649759,0.01953535905733972,0.011700146587546811,-0.012498742415607111,-0.060168521466452685,0.0023095415748350945,-0.0019948077389493335,0.016762230445625192,0.0026365574422255733,0.004987541511039417,-0.07009566237084575,0.0,0.0018088639240261273,-0.006208594488141372,0.007122295666387224,0.0057768198924481595,0.01596901875857526,0.017402380949967267,0.042292662352371835,0.017771347150826067,0.01511129426758373,0.12032295799759574,-0.14339455303935722,-0.01833928693974947,-0.021555507221538484,0.04889464251773537,-0.08737024818758599,0.410222118462805,0.2888933563545457,0.040058320795090196
1997-10-01,-0.01908612855032444,-0.1666633064516129,-0.0666666666666666,0.012969868962504627,0.007886153119740058,0.009511313392943421,0.03753791931906503,-0.1417574540332573,0.019420550705285144,-0.0008320031890409751,-0.04196419909903204,0.00235571369245946,-0.035846131773136,-0.04481779159568933,-0.016931866609357193,0.008550773341241324,0.01899205742120813,-0.0016440612005670374,0.10802146201153473,0.003175689406801574,0.05639506975363595,-0.47666666666666613,-0.00027292858796812425,0.007410548358901536,0.01717283426940419,-0.01932344764256122,-0.00021609971151015372,0.004788516731797365,0.01502619560023355,0.01461816345566902,0.0497370875557257,-0.023530497410193973,0.0014935596550822439,0.0006063544228283035,0.011829341790379644,0.003128873190980208,0.005375245524507299,-0.055432571279062426,0.008549871221238403,-0.004830927269665608,0.007378869636331942,0.01083998682237386,0.007873600411020476,0.019115352695793675,0.022655606107264248,0.0023386450168816353,0.017790312614510917,0.006277820913464183,0.022297981614671336,0.31787697853504326,0.06365137011239502,0.06150780463384614,-0.06089409365427367,0.06486033135941582,0.18770486110296503,-0.2234461599575681,0.016526951371403698
1998-01-01,0.008148166210699368,-0.030462718138551115,0.056666666666666594,-0.03989719626017063,0.005265379023554395,0.0033151115192904257,0.16014769929963268,-0.18962114870274782,-0.049475502668580695,0.0049979522220215955,-0.007168489478612816,-0.019535996178748682,-0.029631797606370913,-0.0020282375237954398,-0.08139241674607156,0.0099441466859016,0.014810315782732175,-0.0004114379815289837,0.22877037970134673,0.007744221259017969,0.18910897356748713,-1.206666666666667,0.001147914023547969,0.012729762846175774,-0.01651061742471782,-0.0006038039833242692,0.00236975197884437,-0.0031897953681001567,0.010136260511753648,0.020833516196434587,0.01725668362331323,-0.04879016416943216,0.013221717132626765,-0.00256030904846849,0.011407881497815353,8.021318887330153e-05,0.002059732963010319,-0.0556988501229978,-0.007229739016315406,0.0024183808642814775,-0.22272592758711252,0.012376087198418873,0.0061308203266143835,0.021967922046226107,0.02045365268412347,0.026118039392073022,0.023295954863251644,0.005540514159035226,0.07152013154768788,-0.6384499245644015,-0.04053456172067796,-0.0466525944276924,0.09815652671925001,-0.008738778300592998,-0.017400854219015827,-0.021793815750793755,0.05052119311381986
1998-04-01,-0.006245473253166734,-0.10639084048920108,-0.09000000000000001,0.043512744140285164,0.0018756025166934975,-0.0028196204775410294,-0.06483751949530792,0.01215352579098028,0.09094593555587771,0.018974449642076507,-0.05167201054432069,-0.0008001067235747783,-0.02281467776617152,-0.038549586600765684,-0.004009627478605893,0.009215610585627587,0.0007986582965848754,0.0004114379815289837,-0.10611427039762233,-0.015552516363580793,-0.1547155263330655,-0.09666666666666668,0.0034688687931936357,0.029213786603584424,-0.025671498900297962,-0.001963443738427273,-0.000676994228564709,-0.008824766455436617,0.019255276591270132,0.013658088478591068,0.008729960692302363,-0.025317807984289953,0.0013441067533497275,0.0015720308000544136,0.011574244942551104,0.0018030978090219918,0.003286773706623336,0.0017883760355124068,-0.015287768663126755,-0.0036297680505785745,-0.08538051929025414,0.01377296734845146,0.006316079096345462,0.016870933094644158,0.017177202059720287,0.028239541312204963,0.040899996573672937,0.002540951173438444,0.08297655682908278,0.34490940005446546,-0.012988770896065649,-0.06316104187384664,-0.07384793311438509,0.0778436551247097,-0.041990668707562406,0.14344367868229568,-0.07498060177595178
1998-07-01,-0.000980270821438943,0.03632936507936509,0.2233333333333333,-0.033087548861503,0.0060966947443494846,-0.0013879940760039844,-0.03902934390573498,-0.1018880246051671,-0.08324878232739374,-0.004679005332103969,0.02985296314968111,-0.00508226317949223,-0.031252543504104224,-0.003459350171835407,0.010090709478045135,0.012449823849694397,0.01568348978367684,0.002054654513663934,0.3738265441956452,-0.00782138103219232,-0.032090262121127644,0.4600000000000004,0.0035982941666468093,-0.026078011382789867,0.010326897233422727,0.006211075185849069,-0.004581471923453151,0.0,0.01603853157761037,0.010023250848165688,0.03683696071835563,0.04184710993550045,0.0038777720962235307,0.0012812547418548093,0.016737962731383504,0.003091082740481532,0.005114054308385185,-0.07287173656210877,-0.031295070907706446,0.006042314455962705,-0.030238887926706592,0.012943070185620797,0.005623158492483071,0.014064790191472554,0.017195415853640483,0.011598711796239947,0.03867542856529127,-0.0019326466465656722,-0.023453972510277588,0.03944035015370062,-0.034560419205891105,-0.03688049660307691,0.009965039994977526,-0.05004485898450284,0.03460822441229183,-0.027479871471417283,0.10017774105595123
1998-10-01,0.0036302930413436314,0.2143951612903226,0.0,0.03805232705274442,0.005183797529052292,0.013989686804584345,-0.09381875521765481,-0.11930457371742687,0.10131538333770962,0.024406346189532968,-0.022305757514298197,-0.006726784412751208,-0.024097551579060683,-0.03794449720335846,-0.029239479722520834,0.016032693766730333,0.014976879009131139,0.0,-0.20071548748537005,0.02371201091195374,0.045263696436471434,0.20333333333333314,0.008761093579148671,-0.03735122814345715,-0.019082608443151017,0.0040813583423098265,-0.00252199740349468,0.0016103063061039258,0.016958301635442652,0.007884601535621982,0.05428228428456716,-0.07663322602091571,0.0017290648715722057,-0.0011920107328080576,0.018777980355340063,0.0026305432579221133,0.004681942394796579,-0.10814037417842481,-0.12576226272674873,-0.12975196878198547,-0.09481815181909381,0.016184034029100403,0.005971594302129901,0.012278658237255158,0.016757059892920978,0.026431520213420434,0.032113574435951975,0.019387151537817005,0.034786300070649645,0.17628849031997973,0.02064239969084214,0.01589388822461539,0.15358052396661356,0.02319167022265134,-0.1147119304824109,0.06234601307805576,-0.06227653411410117
1999-01-01,0.04399880835098667,-0.14646483342147018,-0.1566666666666666,-0.07132832990855853,0.006389319662034154,-0.0025468985702596925,0.021622464013165477,-0.016929022793210735,-0.0026882799348544317,0.014846385611129165,-0.03053672386008177,-0.00704419060180328,-0.024692612590371477,-0.02352367070775707,0.0645880274498527,0.00939400399931678,-0.001549667131756749,0.004096687417329825,-0.2746814443918897,-0.012475184602752876,0.0164529875114221,0.3599999999999999,-0.005761471992750344,0.01729634584858708,0.011537992819198095,0.0005360829574154735,0.005190398692787035,-0.002416432911628519,0.012168060703894312,0.010860058145908624,-0.007576529686678768,0.06010392406970522,0.014810093966143967,1.9250369418521984e-05,0.012583621343372542,0.00197058328506472,0.003648899244210746,0.06493993948777965,0.03541555650689654,-0.026408761973297112,0.010253870923425445,0.014524298505616429,0.005962184150599015,0.012322762099843843,0.01755066274206385,0.020522932331388688,0.013185530553573521,0.013296863342947773,0.11492540127690898,-0.622526039030145,0.03608370309261258,0.02668094324769238,0.054662595652397394,0.004883302079605301,-0.09803569816407531,-0.11778112133337615,0.12980615560810094
1999-04-01,-0.0652810049115772,0.11785092213114759,0.019999999999999997,0.05204236534050288,0.00674421737572839,0.006355125026016317,-0.2543748744340122,0.30202183387736103,0.02573387675394212,0.013215689503216055,-0.00778214044205483,0.015378692402650884,0.016529301951210496,0.048843942559043674,-0.008111425121669846,0.00831533189937339,0.021328004454229443,-0.002046245854157469,-0.11144111594816142,-0.003484206740945517,0.04281528990122574,-1.0633333333333335,0.01644118067564193,-0.025816662215163433,-0.012554992366853313,0.013562658876816513,0.0012106039142549818,0.0,0.020855937304069982,0.001187067045451684,-0.08227152870438825,-0.016807118316381153,0.00420579118898079,0.0018206766707402622,0.012095263426347813,0.005669129076157908,0.007458960093627454,0.10589548959060657,0.010534333684959263,0.002812941376614697,0.3004162557431749,0.014854056187125764,0.006333143397021956,0.008084283955957616,0.010196959388673932,0.023657206092550176,0.02626792682060941,0.019043965662884688,0.054703139025821024,0.6269484002000887,0.18916235191909192,0.1130310033323072,0.7053357091922425,0.07383387041758027,-0.03382650252990871,0.09691595789769991,-0.11920450260996773
