fiscal_year,Five Year Plan,Controller,tax_name
1997,211648944.93000004,211648944.93000004,BIRT
1998,222323655.22999996,222323655.22999996,BIRT
1999,233507926.21999997,233507926.21999997,BIRT
2000,265419287.09000003,265419287.09000003,BIRT
2001,300216233.86,300216233.86,BIRT
2002,266071531.07,266071531.07,BIRT
2003,280247244.9,280247244.9,BIRT
2004,311336551.4,311336551.4,BIRT
2005,380012198.7300001,380012198.7300001,BIRT
2006,415896781.49,415896781.49,BIRT
2007,437058931.05999994,437058931.05999994,BIRT
2008,398830440.6,398830440.6,BIRT
2009,385974583.89,385974583.89,BIRT
2010,364703122.05000013,364703122.05000013,BIRT
2011,376944129.53000003,376944129.53000003,BIRT
2012,389386146.93000007,389386146.93000007,BIRT
2013,450911164.25,450911164.25,BIRT
2014,461655141.76000005,461655141.76000005,BIRT
2015,438234878.0,438234878.0,BIRT
2016,474171482.53999996,474171482.53999996,BIRT
2017,417525973.88,417525973.88,BIRT
2018,446070873.08,446070873.08,BIRT
2019,540873629.96,540873629.96,BIRT
2020,534239464.38,534239464.38,BIRT
2021,541598760.49,541598760.49,BIRT
2022,749865139.26,749865139.26,BIRT
2023,729455000.0,729455000.0,BIRT
2024,709051000.0,719482885.7161967,BIRT
2025,725688000.0,732518837.8059332,BIRT
2026,708707000.0,750774788.5591393,BIRT
2027,757182000.0,767210127.5964483,BIRT
2028,772629000.0,783119205.9714768,BIRT
1997,436192298.91999966,436192298.91999966,Wage
1998,891905071.2600001,891905071.2600001,Wage
1999,923550552.1599995,923550552.1599995,Wage
2000,967796447.6899999,967796447.6899999,Wage
2001,1023140226.6600002,1023140226.6600002,Wage
2002,981781428.3599988,981781428.3599988,Wage
2003,987224844.0500003,987224844.0500003,Wage
2004,1034474361.6200002,1034474361.6200002,Wage
2005,1066003879.4799998,1066003879.4799998,Wage
2006,1104034649.04,1104034649.04,Wage
2007,1162390897.1300004,1162390897.1300004,Wage
2008,1176555948.5699992,1176555948.5699992,Wage
2009,1105870765.2900012,1105870765.2900012,Wage
2010,1102284993.0100002,1102284993.0100002,Wage
2011,1127455305.9900005,1127455305.9900005,Wage
2012,1192221006.8299997,1192221006.8299997,Wage
2013,1219500349.56,1219500349.56,Wage
2014,1255871045.1799996,1255871045.1799996,Wage
2015,1318751776.9999995,1318751776.9999995,Wage
2016,1364611840.2300003,1364611840.2300003,Wage
2017,1440605001.0300002,1440605001.0300002,Wage
2018,1536868156.7400005,1536868156.7400005,Wage
2019,1577548634.3700006,1577548634.3700006,Wage
2020,1591884242.7399995,1591884242.7399995,Wage
2021,1448008277.5600002,1448008277.5600002,Wage
2022,1648127559.579999,1648127559.579999,Wage
2023,1703381000.0000005,1703381000.0000005,Wage
2024,1753427000.0,1772269627.8474286,Wage
2025,1836714000.0,1838334302.577886,Wage
2026,1920285000.0,1918285780.1264036,Wage
2027,1998248000.0,1997262421.6555696,Wage
2028,2075780000.0,2079080418.5303752,Wage
1997,43806511.00000002,43806511.00000002,Sales
1998,97095318.00000006,97095318.00000006,Sales
1999,99206773.99999994,99206773.99999994,Sales
2000,122464603.0000001,122464603.0000001,Sales
2001,111304174.0,111304174.0,Sales
